Running HiGHS 1.10.0 (git hash: fd8665394e): Copyright (c) 2025 HiGHS under MIT licence terms
LP   has 1634630 rows; 907262 cols; 3099398 nonzeros
Coefficient ranges:
  Matrix [1e-04, 8e+05]
  Cost   [1e-01, 1e+00]
  Bound  [0e+00, 0e+00]
  RHS    [2e-66, 5e+02]
Presolving model
623170 rows, 652542 cols, 1607646 nonzeros  1s
226150 rows, 254360 cols, 835330 nonzeros  3s
182993 rows, 210917 cols, 764103 nonzeros  3s
Dependent equations search running on 127640 equations with time limit of 1000.00s
Dependent equations search removed 0 rows and 0 nonzeros in 0.46s (limit = 1000.00s)
169738 rows, 197512 cols, 741262 nonzeros  5s
Presolve : Reductions: rows 169738(-1464892); columns 197512(-709750); elements 741262(-2358136)
Solving the presolved LP
Using EKK dual simplex solver - serial
  Iteration        Objective     Infeasibilities num(sum)
          0    -8.5054244415e+04 Ph1: 63615(3.9546e+07); Du: 17905(85054.2) 6s
     204636    -9.6643672702e+03 Pr: 12647(24727.8); Du: 0(6.3892e-07) 389s
     205130    -9.6557109312e+03 Pr: 11916(7867.63); Du: 0(8.45784e-07) 396s
     205735    -9.6488759567e+03 Pr: 12870(25089.2); Du: 0(7.26429e-07) 403s
     206360    -9.6419591349e+03 Pr: 11047(17314.3); Du: 0(8.90141e-07) 410s
     206889    -9.6401537235e+03 Pr: 9777(1389.87); Du: 0(6.03222e-07) 416s
     207477    -9.6351089756e+03 Pr: 9522(11541.1); Du: 0(5.87123e-07) 424s
     208079    -9.6307635632e+03 Pr: 10288(18805.9); Du: 0(6.94219e-07) 432s
     208767    -9.6281742508e+03 Pr: 8298(391.113); Du: 0(6.00206e-07) 440s
     209499    -9.6174207378e+03 Pr: 8055(399.955); Du: 0(7.05921e-07) 448s
     210137    -9.6128723209e+03 Pr: 9776(99873.3); Du: 0(5.5855e-07) 455s
     210804    -9.6058448759e+03 Pr: 7765(2180.88); Du: 0(6.15005e-07) 464s
     211511    -9.5989196828e+03 Pr: 7737(11761); Du: 0(7.43285e-07) 471s
     212219    -9.5948034456e+03 Pr: 6975(171.572); Du: 0(5.28175e-07) 479s
     212799    -9.5923055572e+03 Pr: 6959(1970.14); Du: 0(6.39602e-07) 485s
     213532    -9.5904650764e+03 Pr: 6394(107.885); Du: 0(7.96322e-07) 492s
     214254    -9.5777389154e+03 Pr: 6106(97.5719); Du: 0(7.33261e-07) 501s
     214946    -9.5699958738e+03 Pr: 7950(20301.8); Du: 0(7.24989e-07) 510s
     215551    -9.5684085928e+03 Pr: 6021(88.4397); Du: 0(7.74754e-07) 517s
     216248    -9.5673308226e+03 Pr: 6290(2695.9); Du: 0(6.97338e-07) 524s
     217005    -9.5574201000e+03 Pr: 5634(71.1202); Du: 0(7.40373e-07) 533s
     217676    -9.5538878550e+03 Pr: 5442(63.1689); Du: 0(8.24289e-07) 541s
     218286    -9.5497248504e+03 Pr: 5516(63.6018); Du: 0(8.26016e-07) 548s
     219096    -9.5441501770e+03 Pr: 6158(4188.07); Du: 0(8.02882e-07) 555s
     219910    -9.5353806567e+03 Pr: 5086(58.0101); Du: 0(6.51627e-07) 561s
     220658    -9.5281317844e+03 Pr: 5133(261.007); Du: 0(6.06989e-07) 566s
     221268    -9.5249392975e+03 Pr: 4916(153.916); Du: 0(6.52828e-07) 572s
     222048    -9.5195689057e+03 Pr: 5051(2888.95); Du: 0(6.46766e-07) 578s
     222679    -9.5175669474e+03 Pr: 4791(46.165); Du: 0(5.56627e-07) 583s
     223722    -9.4742262585e+03 Pr: 5487(10566.7); Du: 0(5.52573e-07) 589s
     224643    -9.4663968575e+03 Pr: 5537(8429.96); Du: 0(5.15476e-07) 598s
     225282    -9.4646950412e+03 Pr: 7721(102211); Du: 0(4.89182e-07) 604s
     225933    -9.4615570063e+03 Pr: 4425(1927.23); Du: 0(4.76135e-07) 610s
     226644    -9.4469896608e+03 Pr: 4095(32.6673); Du: 0(5.91225e-07) 619s
     227371    -9.4345412629e+03 Pr: 4004(55.1408); Du: 0(5.82144e-07) 628s
     228114    -9.4271652954e+03 Pr: 4874(1888.22); Du: 0(7.49548e-07) 636s
     228706    -9.4260603110e+03 Pr: 4025(539.245); Du: 0(7.43555e-07) 642s
     229941    -9.4013044822e+03 Pr: 3501(105.841); Du: 0(8.00761e-07) 655s
     230873    -9.3785385555e+03 Pr: 4880(9558.07); Du: 0(7.94994e-07) 663s
     231581    -9.3729401203e+03 Pr: 3310(85.1611); Du: 0(7.52204e-07) 671s
     232351    -9.3671094203e+03 Pr: 2982(18.1403); Du: 0(7.59621e-07) 678s
     233066    -9.3612271217e+03 Pr: 3477(1581.32); Du: 0(6.715e-07) 684s
     233877    -9.3539293633e+03 Pr: 3366(303.136); Du: 0(7.08645e-07) 690s
     234765    -9.3448551206e+03 Pr: 2590(16.6148); Du: 0(7.75045e-07) 697s
     235834    -9.3349043487e+03 Pr: 2452(17.9764); Du: 0(7.29051e-07) 705s
     236460    -9.3342053113e+03 Pr: 2366(9.00494); Du: 0(7.27941e-07) 710s
     237279    -9.3263450681e+03 Pr: 4654(140346); Du: 0(9.36426e-07) 716s
     238010    -9.3247156503e+03 Pr: 2839(4028); Du: 0(8.14787e-07) 721s
     238841    -9.3216517357e+03 Pr: 2515(8022.29); Du: 0(8.30736e-07) 727s
     239576    -9.3193935357e+03 Pr: 1861(11.6005); Du: 0(7.11974e-07) 733s
     240397    -9.3123827437e+03 Pr: 2000(218.875); Du: 0(6.8958e-07) 739s
     241190    -9.3113819712e+03 Pr: 2184(27724.4); Du: 0(5.76179e-07) 745s
     241976    -9.3109222466e+03 Pr: 1601(410.694); Du: 0(6.50082e-07) 751s
     242765    -9.3081223648e+03 Pr: 3082(16235.4); Du: 0(7.02117e-07) 757s
     243487    -9.3072740061e+03 Pr: 1303(4.8276); Du: 0(8.04061e-07) 763s
     244414    -9.3053523053e+03 Pr: 1201(2.83864); Du: 0(8.3816e-07) 769s
     245465    -9.3027845676e+03 Pr: 1491(82.5784); Du: 0(1.00101e-06) 776s
     246337    -9.3019418314e+03 Pr: 900(6.67532); Du: 0(6.86528e-07) 782s
     247258    -9.3011025539e+03 Pr: 1088(1556.93); Du: 0(7.28666e-07) 788s
     248254    -9.2981360116e+03 Pr: 900(196.101); Du: 0(6.0902e-07) 797s
     248917    -9.2980422369e+03 Pr: 584(0.954954); Du: 0(6.0902e-07) 802s
     249865    -9.2975000030e+03 Pr: 886(214.131); Du: 0(6.12776e-07) 807s
     250973    -9.2973495963e+03 Pr: 17(0.000323554); Du: 0(4.47647e-07) 815s
     250973    -9.2973495963e+03 815s
Using EKK dual simplex solver - serial
  Iteration        Objective     Infeasibilities num(sum)
     250973    -9.2975205545e+03 Pr: 20(0.000161949); Du: 0(1.07499e-05) 815s
     251978    -9.2974225124e+03 Pr: 0(0); Du: 0(3.0502e-06) 826s
     251978    -9.2974225124e+03 Pr: 0(0); Du: 0(3.0502e-06) 826s
     251978    -9.2974225124e+03 Pr: 0(0); Du: 0(3.0502e-06) 826s
Solving the original LP from the solution after postsolve
Using EKK dual simplex solver - serial
  Iteration        Objective     Infeasibilities num(sum)
     251978     9.2974225102e+03 Pr: 94(1.74079e-05); Du: 0(1.22579e-06) 830s
     251979     9.2974225102e+03 830s
Required 1 simplex iterations after postsolve
Model status        : Optimal
Simplex   iterations: 251979
Objective value     :  9.2974225101e+03
Relative P-D gap    :  8.8040016543e-15
HiGHS run time      :        830.64
Running HiGHS 1.10.0 (git hash: fd8665394e): Copyright (c) 2025 HiGHS under MIT licence terms
WARNING: LP matrix packed vector contains 1150 |values| in [9.79277e-11, 9.79277e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.23876e-50, 1.23876e-50] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [7.62319e-11, 7.62319e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.01256e-38, 1.01256e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.77241e-11, 3.77241e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.01019e-11, 5.01019e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.30841e-11, 3.30841e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [8.3177e-38, 8.3177e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.39983e-11, 5.39983e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [7.64957e-11, 7.64957e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.86287e-11, 4.86287e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.99974e-11, 2.99974e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.01638e-50, 4.01638e-50] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [9.33259e-11, 9.33259e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.00125e-11, 2.00125e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [8.82972e-11, 8.82972e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [6.1164e-11, 6.1164e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.10319e-11, 5.10319e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [8.02011e-11, 8.02011e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.3639e-11, 4.3639e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.35039e-10, 1.35039e-10] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.84423e-35, 5.84423e-35] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.53108e-41, 1.53108e-41] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.83897e-54, 1.83897e-54] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.13425e-37, 1.13425e-37] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [9.16861e-11, 9.16861e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.45485e-51, 2.45485e-51] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.03205e-49, 1.03205e-49] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.72475e-10, 1.72475e-10] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.41659e-39, 5.41659e-39] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.46605e-11, 4.46605e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.479e-11, 4.479e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.46682e-11, 5.46682e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.81713e-11, 2.81713e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.13341e-11, 5.13341e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [7.61136e-11, 7.61136e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [7.3973e-44, 7.3973e-44] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.32407e-49, 4.32407e-49] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [6.00247e-51, 6.00247e-51] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.00295e-50, 3.00295e-50] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.42958e-46, 3.42958e-46] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [6.4853e-38, 6.4853e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [9.38853e-45, 9.38853e-45] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.08679e-11, 3.08679e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.2277e-43, 2.2277e-43] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.865e-49, 2.865e-49] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.90276e-11, 2.90276e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.82321e-37, 1.82321e-37] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.03832e-32, 5.03832e-32] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.04344e-42, 2.04344e-42] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.83356e-62, 1.83356e-62] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [8.31818e-38, 8.31818e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.77646e-34, 1.77646e-34] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.91852e-11, 1.91852e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.03534e-37, 1.03534e-37] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.17272e-36, 4.17272e-36] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.40246e-46, 2.40246e-46] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.55286e-39, 1.55286e-39] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.17679e-37, 4.17679e-37] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.54959e-11, 3.54959e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.60648e-41, 1.60648e-41] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [7.87554e-11, 7.87554e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.0685e-38, 1.0685e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.6236e-36, 1.6236e-36] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.35735e-38, 3.35735e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.17927e-46, 1.17927e-46] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.50875e-38, 4.50875e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.67595e-32, 1.67595e-32] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.25454e-46, 5.25454e-46] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.92128e-35, 2.92128e-35] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.32679e-38, 3.32679e-38] less than or equal to 1e-09: ignored
